1 9 153 6
0 20
0 20
0 20
0 20
0 20
0 20
0	0.00	0.00	0.00	0	0	0	
1	57.74	0.00	439.69	4	6	1	63 
2	28.87	50.00	402.62	4	6	1	63 
3	-28.87	50.00	502.10	4	6	1	63 
4	-57.74	0.00	544.97	4	6	1	63 
5	-28.87	-50.00	373.37	4	6	1	63 
6	28.87	-50.00	434.93	4	6	1	63 
7	288.68	0.00	282.44	4	6	1	63 
8	144.34	250.00	352.43	4	6	1	63 
9	-144.34	250.00	322.43	4	6	1	63 
10	-288.68	0.00	298.59	4	6	1	63 
11	-144.34	-250.00	288.86	4	6	1	63 
12	144.34	-250.00	299.35	4	6	1	63 
13	866.03	0.00	10.75	4	6	1	63 
14	433.01	750.00	19.87	4	6	1	63 
15	-433.01	750.00	15.68	4	6	1	63 
16	-866.03	0.00	12.93	4	6	1	63 
17	-433.01	-750.00	11.40	4	6	1	63 
18	433.01	-750.00	18.67	4	6	1	63 
19	86.60	50.00	296.61	3	2	3	9 18 36 
20	0.00	100.00	311.07	3	2	3	9 18 36 
21	-86.60	50.00	279.81	3	2	3	9 18 36 
22	-86.60	-50.00	343.39	3	2	3	9 18 36 
23	-0.00	-100.00	210.28	3	2	3	9 18 36 
24	86.60	-50.00	345.92	3	2	3	9 18 36 
25	0.00	40.00	261.89	3	2	3	9 18 36 
26	-34.64	-20.00	381.30	3	2	3	9 18 36 
27	34.64	-20.00	379.71	3	2	3	9 18 36 
28	433.01	250.00	53.70	3	2	3	9 18 36 
29	0.00	500.00	54.86	3	2	3	9 18 36 
30	-433.01	250.00	49.25	3	2	3	9 18 36 
31	-433.01	-250.00	68.75	3	2	3	9 18 36 
32	-0.00	-500.00	33.06	3	2	3	9 18 36 
33	433.01	-250.00	62.00	3	2	3	9 18 36 
34	0.00	200.00	217.47	3	2	3	9 18 36 
35	-173.21	-100.00	342.19	3	2	3	9 18 36 
36	173.21	-100.00	372.01	3	2	3	9 18 36 
37	1299.04	750.00	4.69	3	2	3	9 18 36 
38	0.00	1500.00	4.95	3	2	3	9 18 36 
39	-1299.04	750.00	4.22	3	2	3	9 18 36 
40	-1299.04	-750.00	2.83	3	2	3	9 18 36 
41	-0.00	-1500.00	4.94	3	2	3	9 18 36 
42	1299.04	-750.00	3.69	3	2	3	9 18 36 
43	0.00	600.00	52.62	3	2	3	9 18 36 
44	-519.62	-300.00	38.20	3	2	3	9 18 36 
45	519.62	-300.00	53.60	3	2	3	9 18 36 
46	67.17	27.89	275.32	2	1	6	1 2 4 8 16 32 
47	77.17	22.11	266.50	2	1	6	1 2 4 8 16 32 
48	57.74	55.77	187.42	2	1	6	1 2 4 8 16 32 
49	57.74	44.23	147.92	2	1	6	1 2 4 8 16 32 
50	19.43	77.89	184.82	2	1	6	1 2 4 8 16 32 
51	9.43	72.11	155.90	2	1	6	1 2 4 8 16 32 
52	-19.43	77.89	216.69	2	1	6	1 2 4 8 16 32 
53	-9.43	72.11	196.01	2	1	6	1 2 4 8 16 32 
54	-57.74	55.77	193.33	2	1	6	1 2 4 8 16 32 
55	-57.74	44.23	263.54	2	1	6	1 2 4 8 16 32 
56	-67.17	27.89	229.92	2	1	6	1 2 4 8 16 32 
57	-77.17	22.11	142.06	2	1	6	1 2 4 8 16 32 
58	-77.17	-22.11	168.27	2	1	6	1 2 4 8 16 32 
59	-67.17	-27.89	162.53	2	1	6	1 2 4 8 16 32 
60	-57.74	-44.23	232.72	2	1	6	1 2 4 8 16 32 
61	-57.74	-55.77	181.44	2	1	6	1 2 4 8 16 32 
62	-9.43	-72.11	262.61	2	1	6	1 2 4 8 16 32 
63	-19.43	-77.89	213.60	2	1	6	1 2 4 8 16 32 
64	9.43	-72.11	256.07	2	1	6	1 2 4 8 16 32 
65	19.43	-77.89	166.83	2	1	6	1 2 4 8 16 32 
66	57.74	-44.23	221.93	2	1	6	1 2 4 8 16 32 
67	57.74	-55.77	252.17	2	1	6	1 2 4 8 16 32 
68	77.17	-22.11	253.92	2	1	6	1 2 4 8 16 32 
